Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;PK;PKatt;Matches
463;Mark Schwarzer;au AUS;GK;Fulham;38;1972;30.0;0;;0;;;0.00;;;;0;0;Matches
464;Philippe Senderos;ch SUI;DF;Fulham;26;1985;20.3;1;;2;;;0.10;;0.50;;0;0;Matches
465;Stéphane Sessègnon;bj BEN;FW,MF;Sunderland;27;1984;34.7;7;;21;;;0.60;;0.33;;0;0;Matches
466;Ryan Shawcross;eng ENG;DF;Stoke City;23;1987;35.2;2;;4;;;0.11;;0.50;;0;0;Matches
467;Jonjo Shelvey;eng ENG;MF;Liverpool;19;1992;8.1;1;;8;;;0.99;;0.13;;0;0;Matches
468;Nicky Shorey;eng ENG;DF,MF;West Brom;30;1981;22.4;0;;0;;;0.00;;;;0;0;Matches
469;Ryan Shotton;eng ENG;DF,FW;Stoke City;22;1988;15.5;1;;1;;;0.06;;1.00;;0;0;Matches
470;Steve Sidwell;eng ENG;MF;Fulham;28;1982;12.0;1;;3;;;0.25;;0.33;;0;0;Matches
471;Gylfi Sigurðsson;is ISL;FW,MF;Swansea City;21;1989;16.6;7;;24;;;1.45;;0.29;;0;0;Matches
472;David Silva;es ESP;FW,MF;Manchester City;25;1986;31.1;6;;33;;;1.06;;0.18;;0;0;Matches
473;Danny Simpson;eng ENG;DF;Newcastle Utd;24;1987;34.6;0;;1;;;0.03;;0.00;;0;0;Matches
474;Scott Sinclair;eng ENG;FW,MF;Swansea City;22;1989;34.7;8;;26;;;0.75;;0.15;;4;5;Matches
475;Martin Škrtel;sk SVK;DF;Liverpool;26;1984;33.3;2;;6;;;0.18;;0.33;;0;0;Matches
476;Jordan Slew;eng ENG;FW,MF;Blackburn;18;1992;0.0;0;;0;;;0.00;;;;0;0;Matches
477;Chris Smalling;eng ENG;DF;Manchester Utd;21;1989;14.4;1;;1;;;0.07;;1.00;;0;0;Matches
478;Adam Smith;eng ENG;DF,MF;Tottenham;20;1991;0.2;0;;0;;;0.00;;;;0;0;Matches
479;Alan Smith;eng ENG;FW,MF;Newcastle Utd;30;1980;0.1;0;;0;;;0.00;;;;0;0;Matches
480;Tommy Smith;eng ENG;FW,MF;QPR;31;1980;6.1;2;;4;;;0.65;;0.50;;0;0;Matches
481;Alexandre Song;cm CMR;DF,MF;Arsenal;23;1987;33.3;1;;5;;;0.15;;0.20;;0;0;Matches
482;Marvin Sordell;eng ENG;FW;Bolton;20;1991;0.5;0;;0;;;0.00;;;;0;0;Matches
483;Jay Spearing;eng ENG;MF;Liverpool;22;1988;14.4;0;;2;;;0.14;;0.00;;0;0;Matches
484;Sébastien Squillaci;fr FRA;DF;Arsenal;30;1980;0.1;0;;0;;;0.00;;;;0;0;Matches
485;Ronnie Stam;nl NED;DF,MF;Wigan Athletic;27;1984;13.6;0;;1;;;0.07;;0.00;;0;0;Matches
486;Richard Stearman;eng ENG;DF;Wolves;23;1987;26.7;0;;0;;;0.00;;;;0;0;Matches
487;Grétar Steinsson;is ISL;DF;Bolton;29;1982;20.9;1;;4;;;0.19;;0.25;;0;0;Matches
488;Raheem Sterling;eng ENG;FW,MF;Liverpool;16;1994;0.3;0;;0;;;0.00;;;;0;0;Matches
489;David Stockdale;eng ENG;GK;Fulham;25;1985;8.0;0;;0;;;0.00;;;;0;0;Matches
490;Denis Stracqualursi;ar ARG;FW;Everton;23;1987;8.1;1;;8;;;0.98;;0.13;;0;0;Matches
491;Daniel Sturridge;eng ENG;FW,MF;Chelsea;21;1989;25.0;11;;32;;;1.28;;0.34;;0;0;Matches
492;Luis Suárez;uy URU;FW;Liverpool;24;1987;28.3;11;;42;;;1.49;;0.26;;0;1;Matches
493;Andrew Surman;eng ENG;MF;Norwich City;24;1986;21.3;4;;10;;;0.47;;0.40;;0;0;Matches
494;Wojciech Szczęsny;pl POL;GK;Arsenal;21;1990;38.0;0;;0;;;0.00;;;;0;0;Matches
495;Thomas Sørensen;dk DEN;GK;Stoke City;35;1976;15.8;0;;0;;;0.00;;;;0;0;Matches
496;Adel Taarabt;ma MAR;FW,MF;QPR;22;1989;22.3;2;;31;;;1.39;;0.06;;0;0;Matches
497;Taye Taiwo;ng NGA;DF;QPR;26;1985;13.3;1;;4;;;0.30;;0.25;;0;0;Matches
498;Gabriel Tamaș;ro ROU;DF;West Brom;27;1983;7.4;0;;1;;;0.14;;0.00;;0;0;Matches
499;Alan Tate;eng ENG;DF;Swansea City;28;1982;1.8;0;;0;;;0.00;;;;0;0;Matches
500;Neil Taylor;wls WAL;DF,MF;Swansea City;22;1989;34.2;0;;1;;;0.03;;0.00;;0;0;Matches
501;Ryan Taylor;eng ENG;DF,MF;Newcastle Utd;26;1984;23.6;2;;5;;;0.21;;0.40;;0;0;Matches
502;Steven Taylor;eng ENG;DF;Newcastle Utd;25;1986;14.0;0;;1;;;0.07;;0.00;;0;0;Matches
503;Somen Tchoyi;cm CMR;MF;West Brom;28;1983;7.3;1;;5;;;0.69;;0.20;;0;0;Matches
504;John Terry;eng ENG;DF;Chelsea;30;1980;31.0;6;;13;;;0.42;;0.46;;0;0;Matches
505;Carlos Tevez;ar ARG;FW,MF;Manchester City;27;1984;6.7;4;;16;;;2.40;;0.25;;0;1;Matches
506;Jerome Thomas;eng ENG;FW,MF;West Brom;28;1983;22.0;1;;10;;;0.45;;0.10;;0;0;Matches
507;George Thorne;eng ENG;MF;West Brom;18;1993;1.2;0;;0;;;0.00;;;;0;0;Matches
508;Marc Tierney;eng ENG;DF;Norwich City;25;1985;17.0;0;;1;;;0.06;;0.00;;0;0;Matches
509;Cheick Tioté;ci CIV;MF;Newcastle Utd;25;1986;22.6;0;;7;;;0.31;;0.00;;0;0;Matches
510;Fernando Torres;es ESP;FW;Chelsea;27;1984;21.3;6;;23;;;1.08;;0.26;;0;0;Matches
511;Kolo Touré;ci CIV;DF;Manchester City;30;1981;9.5;0;;2;;;0.21;;0.00;;0;0;Matches
512;Yaya Touré;ci CIV;MF;Manchester City;28;1983;29.4;6;;16;;;0.54;;0.38;;0;0;Matches
513;Armand Traoré;sn SEN;DF,MF;Arsenal;21;1989;1.0;0;;0;;;0.00;;;;0;0;Matches
514;Armand Traoré;sn SEN;DF,MF;QPR;21;1989;17.9;0;;3;;;0.17;;0.00;;0;0;Matches
515;Gerhard Tremmel;de GER;GK;Swansea City;32;1978;1.0;0;;0;;;0.00;;;;0;0;Matches
516;Marcello Trotta;it ITA;FW;Fulham;18;1992;0.0;0;;1;;;30.00;;0.00;;0;0;Matches
517;Ross Turnbull;eng ENG;GK;Chelsea;26;1985;2.0;0;;0;;;0.00;;;;0;0;Matches
518;Michael Turner;eng ENG;DF;Sunderland;27;1983;23.5;0;;2;;;0.09;;0.00;;0;0;Matches
519;Matt Upson;eng ENG;DF;Stoke City;32;1979;11.4;1;;2;;;0.18;;0.50;;0;0;Matches
520;Antonio Valencia;ec ECU;DF,MF;Manchester Utd;25;1985;23.6;4;;9;;;0.38;;0.44;;0;0;Matches
521;David Vaughan;wls WAL;MF;Sunderland;28;1983;16.5;2;;6;;;0.36;;0.33;;0;0;Matches
522;James Vaughan;eng ENG;FW;Norwich City;23;1988;1.7;0;;0;;;0.00;;;;0;0;Matches
523;Josh Vela;eng ENG;DF,MF;Bolton;17;1993;0.4;0;;0;;;0.00;;;;0;0;Matches
524;Apostolos Vellios;gr GRE;FW;Everton;19;1992;2.9;3;;7;;;2.42;;0.43;;0;0;Matches
525;Thomas Vermaelen;be BEL;DF;Arsenal;25;1985;27.5;6;;12;;;0.44;;0.50;;0;0;Matches
526;Nemanja Vidić;rs SRB;DF;Manchester Utd;29;1981;5.6;0;;2;;;0.36;;0.00;;0;0;Matches
527;Sam Vokes;wls WAL;FW;Wolves;21;1989;0.7;0;;0;;;0.00;;;;0;0;Matches
528;Michel Vorm;nl NED;GK;Swansea City;27;1983;37.0;0;;0;;;0.00;;;;0;0;Matches
529;Dorus de Vries;nl NED;GK;Wolves;30;1980;3.6;0;;0;;;0.00;;;;0;0;Matches
530;Haris Vučkić;si SVN;FW,MF;Newcastle Utd;18;1992;1.9;0;;1;;;0.53;;0.00;;0;0;Matches
531;Simon Vukčević;me MNE;MF;Blackburn;25;1986;4.2;1;;2;;;0.48;;0.50;;0;0;Matches
532;Theo Walcott;eng ENG;FW,MF;Arsenal;22;1989;30.3;8;;34;;;1.12;;0.24;;0;0;Matches
533;Kyle Walker;eng ENG;DF,MF;Tottenham;21;1990;35.9;2;;3;;;0.08;;0.67;;0;0;Matches
534;Jonathan Walters;ie IRL;FW,MF;Stoke City;27;1983;37.0;7;;19;;;0.51;;0.16;;4;6;Matches
535;Elliott Ward;eng ENG;DF;Norwich City;26;1985;12.0;0;;1;;;0.08;;0.00;;0;0;Matches
536;Stephen Ward;ie IRL;DF,FW;Wolves;25;1985;38.0;3;;6;;;0.16;;0.50;;0;0;Matches
537;Stephen Warnock;eng ENG;DF;Aston Villa;29;1981;33.9;2;;4;;;0.12;;0.50;;0;0;Matches
538;Ben Watson;eng ENG;MF;Wigan Athletic;26;1985;14.0;3;;7;;;0.50;;0.14;;2;4;Matches
539;Andreas Weimann;at AUT;FW,MF;Aston Villa;19;1991;6.0;2;;6;;;1.00;;0.33;;0;0;Matches
540;Danny Welbeck;eng ENG;FW,MF;Manchester Utd;20;1990;22.4;9;;35;;;1.57;;0.26;;0;0;Matches
541;Keiren Westwood;ie IRL;GK;Sunderland;26;1984;8.4;0;;0;;;0.00;;;;0;0;Matches
542;David Wheater;eng ENG;DF;Bolton;24;1987;22.3;2;;4;;;0.18;;0.50;;0;0;Matches
543;Glenn Whelan;ie IRL;MF;Stoke City;27;1984;27.6;1;;3;;;0.11;;0.33;;0;0;Matches
544;Zak Whitbread;us USA;DF;Norwich City;27;1984;15.9;0;;4;;;0.25;;0.00;;0;0;Matches
545;Dean Whitehead;eng ENG;DF,MF;Stoke City;29;1982;26.3;0;;2;;;0.08;;0.00;;0;0;Matches
546;Connor Wickham;eng ENG;FW,MF;Sunderland;18;1993;5.9;1;;4;;;0.68;;0.25;;0;0;Matches
547;Aaron Wilbraham;eng ENG;FW;Norwich City;31;1979;3.5;1;;6;;;1.72;;0.17;;0;0;Matches
548;Andy Wilkinson;eng ENG;DF;Stoke City;26;1984;19.0;0;;2;;;0.11;;0.00;;0;0;Matches
549;Ashley Williams;wls WAL;DF;Swansea City;26;1984;37.0;1;;5;;;0.14;;0.20;;0;0;Matches
550;Mike Williamson;eng ENG;DF;Newcastle Utd;27;1983;21.1;0;;2;;;0.09;;0.00;;0;0;Matches
551;Marc Wilson;ie IRL;DF,MF;Stoke City;23;1987;32.2;0;;7;;;0.22;;0.00;;0;0;Matches
552;Jonathan Woodgate;eng ENG;DF;Stoke City;31;1980;14.1;0;;0;;;0.00;;;;0;0;Matches
553;Shaun Wright-Phillips;eng ENG;FW,MF;QPR;29;1981;24.6;0;;12;;;0.49;;0.00;;0;0;Matches
554;Nico Yennaris;cn CHN;DF,MF;Arsenal;18;1993;0.5;0;;0;;;0.00;;;;0;0;Matches
555;Ashley Young;eng ENG;DF,FW;Manchester Utd;26;1985;17.4;6;;21;;;1.21;;0.29;;0;0;Matches
556;Luke Young;eng ENG;DF;Aston Villa;32;1979;1.6;0;;0;;;0.00;;;;0;0;Matches
557;Luke Young;eng ENG;DF;QPR;32;1979;22.6;2;;5;;;0.22;;0.40;;0;0;Matches
558;Pablo Zabaleta;ar ARG;DF,MF;Manchester City;26;1985;17.2;1;;5;;;0.29;;0.20;;0;0;Matches
559;Bobby Zamora;eng ENG;FW;QPR;30;1981;13.1;2;;6;;;0.46;;0.33;;0;0;Matches
560;Bobby Zamora;eng ENG;FW;Fulham;30;1981;13.1;5;;15;;;1.14;;0.27;;1;1;Matches
561;Ronald Zubar;fr FRA;DF;Wolves;25;1985;12.9;1;;2;;;0.15;;0.50;;0;0;Matches
