Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;PK;PKatt;Matches
77;Mark Bunn;eng ENG;GK;Blackburn;26;1984;3.0;0;;0;;;0.00;;;;0;0;Matches
78;Ákos Buzsáky;hu HUN;MF;QPR;29;1982;10.0;2;;8;;;0.80;;0.25;;0;0;Matches
79;Yohan Cabaye;fr FRA;MF;Newcastle Utd;25;1986;31.3;4;;20;;;0.64;;0.20;;0;0;Matches
80;Gary Cahill;eng ENG;DF;Bolton;25;1985;18.2;2;;7;;;0.38;;0.29;;0;0;Matches
81;Gary Cahill;eng ENG;DF;Chelsea;25;1985;9.5;1;;4;;;0.42;;0.25;;0;0;Matches
82;Tim Cahill;au AUS;FW,MF;Everton;31;1979;26.1;2;;15;;;0.58;;0.13;;0;0;Matches
83;Gary Caldwell;sct SCO;DF,MF;Wigan Athletic;29;1982;35.8;3;;3;;;0.08;;1.00;;0;0;Matches
84;DJ Campbell;eng ENG;FW;QPR;29;1981;3.6;1;;1;;;0.27;;1.00;;0;0;Matches
85;Fraizer Campbell;eng ENG;FW;Sunderland;23;1987;7.1;1;;4;;;0.56;;0.25;;0;0;Matches
86;Jamie Carragher;eng ENG;DF,MF;Liverpool;33;1978;19.2;0;;0;;;0.00;;;;0;0;Matches
87;Michael Carrick;eng ENG;MF;Manchester Utd;30;1981;27.8;2;;3;;;0.11;;0.67;;0;0;Matches
88;Andy Carroll;eng ENG;FW;Liverpool;22;1989;23.0;4;;28;;;1.22;;0.14;;0;0;Matches
89;Samir Carruthers;ie IRL;MF;Aston Villa;18;1993;0.2;0;;0;;;0.00;;;;0;0;Matches
90;Lee Cattermole;eng ENG;MF;Sunderland;23;1988;21.5;0;;3;;;0.14;;0.00;;0;0;Matches
91;Steven Caulker;sl SLE;DF;Swansea City;19;1991;26.0;0;;3;;;0.12;;0.00;;0;0;Matches
92;Petr Čech;cz CZE;GK;Chelsea;29;1982;34.0;0;;0;;;0.00;;;;0;0;Matches
93;Radek Černý;cz CZE;GK;QPR;37;1974;5.0;0;;0;;;0.00;;;;0;0;Matches
94;Marouane Chamakh;ma MAR;FW;Arsenal;27;1984;2.0;1;;2;;;1.00;;0.50;;0;0;Matches
95;Park Chu-young;kr KOR;FW,MF;Arsenal;26;1985;0.1;0;;0;;;0.00;;;;0;0;Matches
96;Lee Chung-yong;kr KOR;FW,MF;Bolton;23;1988;0.2;0;;0;;;0.00;;;;0;0;Matches
97;Djibril Cissé;fr FRA;FW;QPR;29;1981;5.9;6;;13;;;2.19;;0.46;;0;0;Matches
98;Papiss Cissé;sn SEN;FW;Newcastle Utd;26;1985;12.3;13;;24;;;1.95;;0.54;;0;0;Matches
99;Ciaran Clark;ie IRL;DF,MF;Aston Villa;21;1989;12.7;1;;4;;;0.31;;0.25;;0;0;Matches
100;Tom Cleverley;eng ENG;MF;Manchester Utd;21;1989;5.0;0;;3;;;0.60;;0.00;;0;0;Matches
101;Gaël Clichy;fr FRA;DF;Manchester City;26;1985;27.6;0;;3;;;0.11;;0.00;;0;0;Matches
102;Sebastián Coates;uy URU;DF;Liverpool;20;1990;5.4;1;1;1;100.0;0.18;0.18;1.00;1.00;;0;0;Matches
103;Jack Colback;eng ENG;DF,MF;Sunderland;21;1989;29.7;1;;2;;;0.07;;0.50;;0;0;Matches
104;Ashley Cole;eng ENG;DF;Chelsea;30;1980;30.9;0;;3;;;0.10;;0.00;;0;0;Matches
105;Séamus Coleman;ie IRL;DF,MF;Everton;22;1988;12.5;0;;5;;;0.40;;0.00;;0;0;Matches
106;James Collins;wls WAL;DF;Aston Villa;27;1983;30.9;1;;6;;;0.19;;0.17;;0;0;Matches
107;Fabricio Coloccini;ar ARG;DF,MF;Newcastle Utd;29;1982;33.8;0;;4;;;0.12;;0.00;;0;0;Matches
108;Matthew Connolly;eng ENG;DF;QPR;23;1987;5.4;0;;0;;;0.00;;;;0;0;Matches
109;Francis Coquelin;fr FRA;DF,MF;Arsenal;20;1991;7.0;0;;0;;;0.00;;;;0;0;Matches
110;Vedran Ćorluka;hr CRO;DF;Tottenham;25;1986;1.5;0;;0;;;0.00;;;;0;0;Matches
111;Simon Cox;ie IRL;FW;West Brom;24;1987;8.5;0;;10;;;1.17;;0.00;;0;0;Matches
112;Jody Craddock;eng ENG;DF,MF;Wolves;36;1975;0.8;0;;0;;;0.00;;;;0;0;Matches
113;Andrew Crofts;wls WAL;MF;Norwich City;27;1984;14.3;0;;2;;;0.14;;0.00;;0;0;Matches
114;Peter Crouch;eng ENG;FW;Stoke City;30;1981;29.8;10;;24;;;0.81;;0.42;;0;0;Matches
115;Peter Crouch;eng ENG;FW;Tottenham;30;1981;1.0;0;;1;;;1.00;;0.00;;0;0;Matches
116;Albert Crusat;es ESP;FW,MF;Wigan Athletic;29;1982;5.5;1;;5;;;0.91;;0.20;;0;0;Matches
117;Carlos Cuéllar;es ESP;DF;Aston Villa;29;1981;16.6;0;;3;;;0.18;;0.00;;0;0;Matches
118;Scott Dann;eng ENG;DF;Blackburn;24;1987;26.7;1;;5;;;0.19;;0.20;;0;1;Matches
119;Kevin Davies;eng ENG;FW;Bolton;34;1977;20.7;6;;16;;;0.77;;0.38;;0;1;Matches
120;Mark Davies;eng ENG;MF;Bolton;23;1988;30.6;4;;14;;;0.46;;0.29;;0;0;Matches
121;Simon Davies;wls WAL;MF;Fulham;31;1979;3.4;0;;1;;;0.30;;0.00;;0;0;Matches
122;David Davis;eng ENG;MF;Wolves;20;1991;4.4;0;;2;;;0.45;;0.00;;0;0;Matches
123;Craig Dawson;eng ENG;DF;West Brom;21;1990;6.0;0;;1;;;0.17;;0.00;;0;0;Matches
124;Michael Dawson;eng ENG;DF;Tottenham;27;1983;6.1;0;;0;;;0.00;;;;0;0;Matches
125;Ritchie De Laet;be BEL;DF;Norwich City;22;1988;5.3;1;;1;;;0.19;;1.00;;0;0;Matches
126;Jermain Defoe;eng ENG;FW;Tottenham;28;1982;14.5;11;;27;;;1.87;;0.41;;0;0;Matches
