player,team,season,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,avg_shot_distance,penalties_scored,penalties_attempted
Robin van Persie,Arsenal,2011-2012,37.0,30,,81.0,,,2.19,,0.35,,2,3
Martin Petrov,Bolton,2011-2012,28.5,4,,21.0,,,0.74,,0.0,,4,4
Stiliyan Petrov,Aston Villa,2011-2012,25.8,4,,13.0,,,0.5,,0.31,,0,0
Radosav Petrović,Blackburn,2011-2012,11.0,0,,2.0,,,0.18,,0.0,,0,0
Steven Pienaar,Tottenham,2011-2012,0.2,0,,0.0,,,0.0,,,,0,0
Steven Pienaar,Everton,2011-2012,13.7,4,,9.0,,,0.66,,0.44,,0,0
Anthony Pilkington,Norwich City,2011-2012,21.9,8,,20.0,,,0.91,,0.4,,0,0
David Pizarro,Manchester City,2011-2012,1.8,0,,0.0,,,0.0,,,,0,0
Paul Pogba,Manchester Utd,2011-2012,0.8,0,,0.0,,,0.0,,,,0,0
Pavel Pogrebnyak,Fulham,2011-2012,10.5,6,,7.0,,,0.67,,0.86,,0,0
Darren Pratley,Bolton,2011-2012,14.2,1,,6.0,,,0.42,,0.17,,0,0
Danny Pugh,Stoke City,2011-2012,1.2,0,,0.0,,,0.0,,,,0,0
Jason Puncheon,QPR,2011-2012,0.2,0,,0.0,,,0.0,,,,0,0
Rafael,Manchester Utd,2011-2012,10.1,0,,5.0,,,0.49,,0.0,,0,0
Ramires,Chelsea,2011-2012,27.5,5,,21.0,,,0.76,,0.24,,0,0
Aaron Ramsey,Arsenal,2011-2012,27.4,2,,19.0,,,0.69,,0.11,,0,0
Àngel Rangel,Swansea City,2011-2012,31.9,0,,1.0,,,0.03,,0.0,,0,0
Abdul Razak,Manchester City,2011-2012,0.1,0,,0.0,,,0.0,,,,0,0
Tim Ream,Bolton,2011-2012,13.0,0,,1.0,,,0.08,,0.0,,0,0
Steven Reid,West Brom,2011-2012,19.6,1,,4.0,,,0.2,,0.25,,0,0
Pepe Reina,Liverpool,2011-2012,33.9,0,,0.0,,,0.0,,,,0,0
Nigel Reo-Coker,Bolton,2011-2012,36.2,3,,8.0,,,0.22,,0.38,,0,0
Jazz Richards,Swansea City,2011-2012,6.4,0,,0.0,,,0.0,,,,0,0
Micah Richards,Manchester City,2011-2012,22.7,1,,7.0,,,0.31,,0.14,,0,0
Kieran Richardson,Sunderland,2011-2012,25.3,2,,12.0,,,0.47,,0.17,,0,0
Sam Ricketts,Bolton,2011-2012,20.0,1,,4.0,,,0.2,,0.25,,0,0
