player,team,season,matches_played,starts,minutes,minutes_90s,goals,assists,goals_assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,goals_assists_non_penalty_per_90
Yossi Benayoun,Chelsea,2011-2012,1,0,2.0,0.0,0,0,0,0,0,0,0,0,0.0
Nicklas Bendtner,Arsenal,2011-2012,1,0,11.0,0.1,0,0,0,0,0,0,0,0,0.0
Nicklas Bendtner,Sunderland,2011-2012,28,25,,24.7,8,5,13,7,1,1,2,0,0.49
Elliott Bennett,Norwich City,2011-2012,33,22,,22.4,1,4,5,1,0,0,5,0,0.22
Ryan Bennett,Norwich City,2011-2012,8,8,720.0,8.0,0,0,0,0,0,0,2,0,0.0
Darren Bent,Aston Villa,2011-2012,22,21,,20.6,9,1,10,7,2,2,1,0,0.39
Dimitar Berbatov,Manchester Utd,2011-2012,12,5,521.0,5.8,7,0,7,5,2,2,0,0,0.86
Christophe Berra,Wolves,2011-2012,32,29,,30.0,0,0,0,0,0,0,5,0,0.0
Ryan Bertrand,Chelsea,2011-2012,7,6,540.0,6.0,0,0,0,0,0,0,1,0,0.0
Federico Bessone,Swansea City,2011-2012,1,0,6.0,0.1,0,0,0,0,0,0,0,0,0.0
Leon Best,Newcastle Utd,2011-2012,18,16,,12.8,4,2,6,4,0,0,2,0,0.47
Diniyar Bilyaletdinov,Everton,2011-2012,10,7,522.0,5.8,0,1,1,0,0,0,0,0,0.17
Nick Blackman,Blackburn,2011-2012,1,0,7.0,0.1,0,0,0,0,0,0,0,0,0.0
Robbie Blake,Bolton,2011-2012,1,0,5.0,0.1,0,0,0,0,0,0,0,0,0.0
Ádám Bogdán,Bolton,2011-2012,20,20,,20.0,0,0,0,0,0,0,0,0,0.0
José Bosingwa,Chelsea,2011-2012,27,24,,23.5,1,2,3,1,0,0,5,1,0.13
Jay Bothroyd,QPR,2011-2012,21,12,,12.3,2,1,3,2,0,0,3,0,0.24
Dedryck Boyata,Bolton,2011-2012,14,13,,12.5,1,0,1,1,0,0,3,0,0.08
Emmerson Boyce,Wigan Athletic,2011-2012,26,26,,25.2,3,1,4,3,0,0,3,0,0.16
Titus Bramble,Sunderland,2011-2012,8,8,650.0,7.2,1,0,1,1,0,0,0,0,0.14
Wayne Bridge,Sunderland,2011-2012,8,3,320.0,3.6,0,0,0,0,0,0,1,0,0.0
Matthew Briggs,Fulham,2011-2012,2,1,91.0,1.0,0,0,0,0,0,0,0,0,0.0
Leon Britton,Swansea City,2011-2012,36,35,,33.4,0,0,0,0,0,0,3,0,0.0
Wes Brown,Sunderland,2011-2012,20,20,,19.3,1,0,1,1,0,0,2,0,0.05
Chris Brunt,West Brom,2011-2012,29,25,,25.6,2,6,8,2,0,0,5,0,0.31
Mark Bunn,Blackburn,2011-2012,3,3,270.0,3.0,0,0,0,0,0,0,0,0,0.0
Ákos Buzsáky,QPR,2011-2012,18,10,900.0,10.0,2,2,4,2,0,0,0,0,0.4
Yohan Cabaye,Newcastle Utd,2011-2012,34,34,,31.3,4,6,10,4,0,0,6,0,0.32
Gary Cahill,Bolton,2011-2012,19,19,,18.2,2,0,2,2,0,0,2,1,0.11
Gary Cahill,Chelsea,2011-2012,10,9,856.0,9.5,1,0,1,1,0,0,2,0,0.11
Tim Cahill,Everton,2011-2012,35,27,,26.1,2,2,4,2,0,0,5,0,0.15
Gary Caldwell,Wigan Athletic,2011-2012,36,36,,35.8,3,0,3,3,0,0,9,1,0.08
DJ Campbell,QPR,2011-2012,11,2,328.0,3.6,1,0,1,1,0,0,0,0,0.27
Fraizer Campbell,Sunderland,2011-2012,12,6,638.0,7.1,1,1,2,1,0,0,3,0,0.28
Jamie Carragher,Liverpool,2011-2012,21,19,,19.2,0,0,0,0,0,0,1,0,0.0
Michael Carrick,Manchester Utd,2011-2012,30,27,,27.8,2,3,5,2,0,0,4,0,0.18
Andy Carroll,Liverpool,2011-2012,35,21,,23.0,4,2,6,4,0,0,5,0,0.26
Samir Carruthers,Aston Villa,2011-2012,3,0,22.0,0.2,0,0,0,0,0,0,1,0,0.0
Lee Cattermole,Sunderland,2011-2012,23,23,,21.5,0,0,0,0,0,0,10,0,0.0
Steven Caulker,Swansea City,2011-2012,26,26,,26.0,0,1,1,0,0,0,2,0,0.04
Petr Čech,Chelsea,2011-2012,34,34,,34.0,0,0,0,0,0,0,0,0,0.0
Radek Černý,QPR,2011-2012,5,5,450.0,5.0,0,0,0,0,0,0,0,0,0.0
Marouane Chamakh,Arsenal,2011-2012,11,1,180.0,2.0,1,0,1,1,0,0,0,0,0.5
Park Chu-young,Arsenal,2011-2012,1,0,8.0,0.1,0,0,0,0,0,0,0,0,0.0
Lee Chung-yong,Bolton,2011-2012,2,0,20.0,0.2,0,0,0,0,0,0,0,0,0.0
Djibril Cissé,QPR,2011-2012,8,7,535.0,5.9,6,0,6,6,0,0,0,2,1.01
Papiss Cissé,Newcastle Utd,2011-2012,14,13,,12.3,13,1,14,13,0,0,1,0,1.14
Ciaran Clark,Aston Villa,2011-2012,15,13,,12.7,1,2,3,1,0,0,3,0,0.24
Tom Cleverley,Manchester Utd,2011-2012,10,5,450.0,5.0,0,1,1,0,0,0,0,0,0.2
Gaël Clichy,Manchester City,2011-2012,28,28,,27.6,0,4,4,0,0,0,3,1,0.14
Sebastián Coates,Liverpool,2011-2012,7,4,487.0,5.4,1,0,1,1,0,0,1,0,0.18
Jack Colback,Sunderland,2011-2012,35,29,,29.7,1,1,2,1,0,0,3,0,0.07
Ashley Cole,Chelsea,2011-2012,32,31,,30.9,0,6,6,0,0,0,9,1,0.19
Séamus Coleman,Everton,2011-2012,18,14,,12.5,0,0,0,0,0,0,2,0,0.0
James Collins,Aston Villa,2011-2012,32,31,,30.9,1,0,1,1,0,0,7,0,0.03
Fabricio Coloccini,Newcastle Utd,2011-2012,35,35,,33.8,0,0,0,0,0,0,2,0,0.0
Matthew Connolly,QPR,2011-2012,6,5,489.0,5.4,0,0,0,0,0,0,0,0,0.0
Francis Coquelin,Arsenal,2011-2012,10,6,634.0,7.0,0,1,1,0,0,0,2,0,0.14
Vedran Ćorluka,Tottenham,2011-2012,3,1,136.0,1.5,0,0,0,0,0,0,0,0,0.0
Simon Cox,West Brom,2011-2012,18,7,766.0,8.5,0,1,1,0,0,0,2,0,0.12
Jody Craddock,Wolves,2011-2012,1,1,73.0,0.8,0,0,0,0,0,0,0,0,0.0
