player,team,season,matches_played,starts,minutes,minutes_90s,goals,assists,goals_assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,goals_assists_non_penalty_per_90
David de Gea,Manchester Utd,2011-2012,29,29,,29.0,0,0,0,0,0,0,0,0,0.0
Marcel Gecov,Fulham,2011-2012,2,0,7.0,0.1,0,0,0,0,0,0,0,0,0.0
Zoltán Gera,West Brom,2011-2012,3,3,172.0,1.9,0,1,1,0,0,0,0,0,0.52
Steven Gerrard,Liverpool,2011-2012,18,12,,13.5,5,2,7,5,0,0,0,0,0.52
Gervinho,Arsenal,2011-2012,28,19,,18.7,4,6,10,4,0,0,0,1,0.54
Kieran Gibbs,Arsenal,2011-2012,16,15,,13.9,1,0,1,1,0,0,1,0,0.07
Darron Gibson,Manchester Utd,2011-2012,1,1,90.0,1.0,0,1,1,0,0,0,0,0,1.0
Darron Gibson,Everton,2011-2012,11,11,925.0,10.3,1,1,2,1,0,0,0,0,0.19
Ryan Giggs,Manchester Utd,2011-2012,25,14,,16.4,2,8,10,2,0,0,3,0,0.61
Shay Given,Aston Villa,2011-2012,32,32,,31.4,0,0,0,0,0,0,1,0,0.0
Gaël Givet,Blackburn,2011-2012,22,21,,19.4,0,1,1,0,0,0,2,1,0.05
Steve Gohouri,Wigan Athletic,2011-2012,10,8,685.0,7.6,0,0,0,0,0,0,4,1,0.0
Jordi Gómez,Wigan Athletic,2011-2012,28,24,,19.9,5,0,5,3,2,2,4,0,0.15
David Goodwillie,Blackburn,2011-2012,20,4,611.0,6.8,2,0,2,2,0,0,0,0,0.29
Craig Gordon,Sunderland,2011-2012,1,1,90.0,1.0,0,0,0,0,0,0,0,0,0.0
Johnny Gorman,Wolves,2011-2012,1,0,2.0,0.0,0,0,0,0,0,0,0,0,0.0
Dan Gosling,Newcastle Utd,2011-2012,12,1,247.0,2.7,1,0,1,1,0,0,2,1,0.36
Mark Gower,Swansea City,2011-2012,20,14,,12.5,0,5,5,0,0,0,2,0,0.4
Danny Graham,Swansea City,2011-2012,36,32,,31.5,12,2,14,11,1,1,0,0,0.41
Vince Grella,Blackburn,2011-2012,1,0,12.0,0.1,0,0,0,0,0,0,0,0,0.0
Zdeněk Grygera,Fulham,2011-2012,5,5,404.0,4.5,0,0,0,0,0,0,2,0,0.0
Adlène Guedioura,Wolves,2011-2012,10,2,301.0,3.3,0,0,0,0,0,0,2,0,0.0
Magaye Gueye,Everton,2011-2012,17,3,550.0,6.1,1,2,3,1,0,0,1,0,0.49
Danny Guthrie,Newcastle Utd,2011-2012,16,13,,12.5,1,0,1,1,0,0,3,0,0.08
Jonás Gutiérrez,Newcastle Utd,2011-2012,37,37,,36.7,2,3,5,2,0,0,6,1,0.14
Brad Guzan,Aston Villa,2011-2012,7,6,593.0,6.6,0,0,0,0,0,0,0,0,0.0
Asamoah Gyan,Sunderland,2011-2012,3,3,230.0,2.6,0,0,0,0,0,0,0,0,0.0
Ali Al-Habsi,Wigan Athletic,2011-2012,38,38,,38.0,0,0,0,0,0,0,1,0,0.0
Fitz Hall,QPR,2011-2012,14,11,922.0,10.2,0,0,0,0,0,0,3,0,0.0
Adam Hammill,Wolves,2011-2012,9,3,349.0,3.9,0,1,1,0,0,0,2,0,0.26
Brede Hangeland,Fulham,2011-2012,38,38,,38.0,0,0,0,0,0,0,7,0,0.0
Grant Hanley,Blackburn,2011-2012,23,19,,20.3,1,0,1,1,0,0,6,0,0.05
Owen Hargreaves,Manchester City,2011-2012,1,0,14.0,0.2,0,0,0,0,0,0,0,0,0.0
Michael Harriman,QPR,2011-2012,1,0,30.0,0.3,0,0,0,0,0,0,0,0,0.0
Joe Hart,Manchester City,2011-2012,38,38,,38.0,0,0,0,0,0,0,0,0,0.0
John Heitinga,Everton,2011-2012,30,29,,28.2,1,0,1,1,0,0,4,0,0.04
Heiðar Helguson,QPR,2011-2012,16,13,,12.8,8,2,10,6,2,2,2,0,0.62
Jordan Henderson,Liverpool,2011-2012,37,31,,29.5,2,1,3,2,0,0,3,0,0.1
Adam Henley,Blackburn,2011-2012,7,4,471.0,5.2,0,0,0,0,0,0,0,0,0.0
Wayne Hennessey,Wolves,2011-2012,34,34,,34.0,0,0,0,0,0,0,1,0,0.0
Karl Henry,Wolves,2011-2012,31,30,,28.7,0,0,0,0,0,0,7,1,0.0
Thierry Henry,Arsenal,2011-2012,4,0,98.0,1.1,1,0,1,1,0,0,0,0,0.92
Chris Herd,Aston Villa,2011-2012,19,19,,16.3,1,0,1,1,0,0,2,1,0.06
Javier Hernández,Manchester Utd,2011-2012,28,18,,16.4,10,2,12,9,1,1,0,0,0.67
Emile Heskey,Aston Villa,2011-2012,28,18,,16.2,1,0,1,1,0,0,3,0,0.06
Tony Hibbert,Everton,2011-2012,32,31,,30.6,0,3,3,0,0,0,1,0,0.1
Danny Higginbotham,Stoke City,2011-2012,2,1,113.0,1.3,0,0,0,0,0,0,0,0,0.0
Henrique Hilário,Chelsea,2011-2012,2,2,180.0,2.0,0,0,0,0,0,0,0,0,0.0
Clint Hill,QPR,2011-2012,22,19,,19.0,0,2,2,0,0,0,4,1,0.11
Junior Hoilett,Blackburn,2011-2012,34,34,,32.8,7,5,12,7,0,1,5,0,0.37
Grant Holt,Norwich City,2011-2012,36,24,,25.0,15,2,17,13,2,2,8,1,0.6
Wes Hoolahan,Norwich City,2011-2012,33,25,,25.3,4,7,11,4,0,0,4,0,0.44
Tim Howard,Everton,2011-2012,38,38,,38.0,1,0,1,1,0,0,1,0,0.03
Jonny Howson,Norwich City,2011-2012,11,11,945.0,10.5,1,1,2,1,0,0,3,0,0.19
Tom Huddlestone,Tottenham,2011-2012,2,0,62.0,0.7,0,0,0,0,0,0,0,0,0.0
Aaron Hughes,Fulham,2011-2012,19,18,,17.2,0,0,0,0,0,0,0,0,0.0
Robert Hulse,QPR,2011-2012,2,1,70.0,0.8,0,0,0,0,0,0,0,0,0.0
Stephen Hunt,Wolves,2011-2012,24,16,,15.4,3,1,4,0,3,3,5,0,0.06
Sam Hutchinson,Chelsea,2011-2012,2,1,78.0,0.9,0,0,0,0,0,0,0,0,0.0
Robert Huth,Stoke City,2011-2012,34,31,,31.5,3,0,3,3,0,0,5,1,0.1
Alan Hutton,Aston Villa,2011-2012,31,29,,28.8,0,2,2,0,0,0,7,1,0.07
Carl Ikeme,Wolves,2011-2012,1,0,40.0,0.4,0,0,0,0,0,0,0,0,0.0
Stephen Ireland,Aston Villa,2011-2012,24,19,,17.7,1,3,4,1,0,0,2,0,0.23
Branislav Ivanović,Chelsea,2011-2012,29,26,,25.2,3,1,4,3,0,0,6,0,0.16
Jussi Jääskeläinen,Bolton,2011-2012,18,18,,18.0,0,0,0,0,0,0,1,0,0.0
Simeon Jackson,Norwich City,2011-2012,22,10,945.0,10.5,3,2,5,3,0,0,1,0,0.48
Phil Jagielka,Everton,2011-2012,30,29,,28.6,2,1,3,2,0,0,2,0,0.11
Gonzalo Jara,West Brom,2011-2012,4,1,163.0,1.8,0,0,0,0,0,0,0,0,0.0
Matthew Jarvis,Wolves,2011-2012,37,31,,31.2,8,4,12,8,0,0,0,0,0.38
Nikica Jelavić,Everton,2011-2012,13,10,954.0,10.6,9,1,10,8,1,1,1,0,0.85
Jermaine Jenas,Aston Villa,2011-2012,3,1,108.0,1.2,0,0,0,0,0,0,0,0,0.0
Carl Jenkinson,Arsenal,2011-2012,9,5,499.0,5.5,0,1,1,0,0,0,2,1,0.18
Cameron Jerome,Stoke City,2011-2012,23,7,848.0,9.4,4,1,5,4,0,0,0,0,0.53
Park Ji-sung,Manchester Utd,2011-2012,17,10,932.0,10.4,2,1,3,2,0,0,0,0,0.29
Adam Johnson,Manchester City,2011-2012,26,10,,12.7,6,2,8,6,0,0,1,0,0.63
Andrew Johnson,Fulham,2011-2012,20,13,,13.9,3,1,4,3,0,0,1,0,0.29
Bradley Johnson,Norwich City,2011-2012,28,25,,23.4,2,5,7,2,0,0,2,0,0.3
Glen Johnson,Liverpool,2011-2012,23,22,,21.7,1,0,1,1,0,0,2,0,0.05
Roger Johnson,Wolves,2011-2012,27,26,,26.2,0,1,1,0,0,0,6,0,0.04
Billy Jones,West Brom,2011-2012,18,17,,17.9,0,1,1,0,0,0,4,0,0.06
Brad Jones,Liverpool,2011-2012,1,0,65.0,0.7,0,0,0,0,0,0,1,0,0.0
David Jones,Wigan Athletic,2011-2012,16,13,,12.9,0,1,1,0,0,0,2,0,0.08
Kenwyne Jones,Stoke City,2011-2012,21,10,980.0,10.9,1,0,1,1,0,0,0,0,0.09
Phil Jones,Manchester Utd,2011-2012,29,25,,23.6,1,2,3,1,0,0,6,0,0.13
Nigel de Jong,Manchester City,2011-2012,21,11,,12.0,0,0,0,0,0,0,5,0,0.0
Eggert Jónsson,Wolves,2011-2012,3,2,172.0,1.9,0,0,0,0,0,0,1,0,0.0
Younès Kaboul,Tottenham,2011-2012,33,33,,32.2,1,0,1,1,0,0,4,1,0.03
Alexander Kačaniklić,Fulham,2011-2012,4,2,203.0,2.3,0,0,0,0,0,0,0,0,0.0
Gaël Kakuta,Bolton,2011-2012,4,0,72.0,0.8,0,0,0,0,0,0,0,0,0.0
Salomon Kalou,Chelsea,2011-2012,12,7,574.0,6.4,1,1,2,1,0,0,0,0,0.31
Pajtim Kasami,Fulham,2011-2012,7,3,268.0,3.0,0,0,0,0,0,0,0,0,0.0
Jake Kean,Blackburn,2011-2012,1,1,90.0,1.0,0,0,0,0,0,0,0,0,0.0
Robbie Keane,Aston Villa,2011-2012,6,5,459.0,5.1,3,0,3,3,0,0,0,0,0.59
Will Keane,Manchester Utd,2011-2012,1,0,6.0,0.1,0,0,0,0,0,0,0,0,0.0
Martin Kelly,Liverpool,2011-2012,12,12,962.0,10.7,0,0,0,0,0,0,1,0,0.0
Stephen Kelly,Fulham,2011-2012,24,21,,22.5,0,0,0,0,0,0,0,0,0.0
Paddy Kenny,QPR,2011-2012,33,33,,33.0,0,0,0,0,0,0,0,0,0.0
Michael Kightly,Wolves,2011-2012,18,14,,13.2,3,1,4,3,0,0,3,0,0.3
Matthew Kilgallon,Sunderland,2011-2012,10,9,790.0,8.8,0,0,0,0,0,0,0,0,0.0
Ledley King,Tottenham,2011-2012,21,21,,19.9,0,0,0,0,0,0,0,0,0.0
Ivan Klasnić,Bolton,2011-2012,29,16,,16.7,8,4,12,7,1,1,3,1,0.66
Zat Knight,Bolton,2011-2012,25,21,,22.0,0,0,0,0,0,0,1,0,0.0
Aleksandar Kolarov,Manchester City,2011-2012,12,9,823.0,9.1,2,4,6,2,0,0,1,0,0.66
Vincent Kompany,Manchester City,2011-2012,31,31,,30.8,3,1,4,3,0,0,5,1,0.13
Laurent Koscielny,Arsenal,2011-2012,33,33,,31.9,2,1,3,2,0,0,8,0,0.09
Niko Kranjčar,Tottenham,2011-2012,12,9,640.0,7.1,1,1,2,1,0,0,0,0,0.28
Tim Krul,Newcastle Utd,2011-2012,38,38,,38.0,0,0,0,0,0,0,4,0,0.0
Dirk Kuyt,Liverpool,2011-2012,34,22,,22.3,2,1,3,2,0,0,3,0,0.13
Sotirios Kyrgiakos,Sunderland,2011-2012,3,2,190.0,2.1,0,0,0,0,0,0,1,0,0.0
Frank Lampard,Chelsea,2011-2012,30,26,,25.0,11,5,16,8,3,4,5,0,0.52
Cameron Lancaster,Tottenham,2011-2012,1,0,13.0,0.1,0,0,0,0,0,0,0,0,0.0
Henri Lansbury,Arsenal,2011-2012,2,0,28.0,0.3,0,0,0,0,0,0,1,0,0.0
Simon Lappin,Norwich City,2011-2012,4,4,290.0,3.2,0,0,0,0,0,0,0,0,0.0
Sebastian Larsson,Sunderland,2011-2012,32,32,,29.9,7,2,9,7,0,1,7,0,0.3
Lucas Leiva,Liverpool,2011-2012,12,12,,11.6,0,0,0,0,0,0,5,0,0.0
Aaron Lennon,Tottenham,2011-2012,23,19,,17.5,3,5,8,3,0,0,1,0,0.46
Joleon Lescott,Manchester City,2011-2012,31,30,,29.8,2,1,3,2,0,0,1,0,0.1
Eric Lichaj,Aston Villa,2011-2012,10,9,823.0,9.1,1,1,2,1,0,0,3,0,0.22
Anders Lindegaard,Manchester Utd,2011-2012,8,8,720.0,8.0,0,0,0,0,0,0,0,0,0.0
Leroy Lita,Swansea City,2011-2012,16,4,466.0,5.2,2,1,3,2,0,0,1,0,0.58
Jake Livermore,Tottenham,2011-2012,24,7,854.0,9.5,0,1,1,0,0,0,1,0,0.11
Shane Long,West Brom,2011-2012,32,24,,24.3,8,1,9,7,1,1,2,0,0.33
Adrián López,Wigan Athletic,2011-2012,5,5,441.0,4.9,0,0,0,0,0,0,2,0,0.0
Jason Lowe,Blackburn,2011-2012,32,30,,29.7,0,1,1,0,0,0,10,0,0.03
David Luiz,Chelsea,2011-2012,20,18,,18.3,2,1,3,2,0,0,5,0,0.16
Romelu Lukaku,Chelsea,2011-2012,8,1,165.0,1.8,0,1,1,0,0,0,0,0,0.55
Peter Løvenkrands,Newcastle Utd,2011-2012,9,2,209.0,2.3,0,1,1,0,0,0,0,0,0.43
Federico Macheda,Manchester Utd,2011-2012,3,0,48.0,0.5,0,0,0,0,0,0,0,0,0.0
Federico Macheda,QPR,2011-2012,3,0,36.0,0.4,0,0,0,0,0,0,1,0,0.0
Jamie Mackie,QPR,2011-2012,31,24,,24.3,7,2,9,7,0,0,2,0,0.37
Stefan Maierhofer,Wolves,2011-2012,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0
Shaun Maloney,Wigan Athletic,2011-2012,13,8,772.0,8.6,3,2,5,2,1,1,1,0,0.47
Florent Malouda,Chelsea,2011-2012,26,11,,12.9,2,3,5,2,0,0,3,0,0.39
Chris Martin,Norwich City,2011-2012,4,3,238.0,2.6,0,0,0,0,0,0,0,0,0.0
Russell Martin,Norwich City,2011-2012,33,30,,31.7,2,1,3,2,0,0,1,0,0.09
Sylvain Marveaux,Newcastle Utd,2011-2012,7,1,141.0,1.6,0,1,1,0,0,0,0,0,0.64
Juan Mata,Chelsea,2011-2012,34,29,,27.9,6,13,19,6,0,0,2,0,0.68
Conor McAleny,Everton,2011-2012,2,0,18.0,0.2,0,0,0,0,0,0,0,0,0.0
James McArthur,Wigan Athletic,2011-2012,31,18,,19.7,3,1,4,3,0,0,4,0,0.2
Gareth McAuley,West Brom,2011-2012,32,32,,32.0,2,0,2,2,0,0,0,0,0.06
James McCarthy,Wigan Athletic,2011-2012,33,33,,32.0,0,1,1,0,0,0,7,0,0.03
James McClean,Sunderland,2011-2012,23,20,,20.5,5,2,7,5,0,0,2,0,0.34
Josh McEachran,Chelsea,2011-2012,2,0,16.0,0.2,0,0,0,0,0,0,0,0,0.0
Josh McEachran,Swansea City,2011-2012,4,1,127.0,1.4,0,0,0,0,0,0,0,0,0.0
James McFadden,Everton,2011-2012,7,2,169.0,1.9,0,0,0,0,0,0,0,0,0.0
Callum McManaman,Wigan Athletic,2011-2012,2,0,21.0,0.2,0,0,0,0,0,0,1,0,0.0
Tyrone Mears,Bolton,2011-2012,1,1,90.0,1.0,0,0,0,0,0,0,0,0,0.0
Raul Meireles,Liverpool,2011-2012,2,0,36.0,0.4,0,1,1,0,0,0,0,0,2.5
Raul Meireles,Chelsea,2011-2012,28,23,,21.4,2,3,5,2,0,0,8,0,0.23
Per Mertesacker,Arsenal,2011-2012,21,21,,20.3,0,0,0,0,0,0,2,0,0.0
David Meyler,Sunderland,2011-2012,7,1,164.0,1.8,0,0,0,0,0,0,0,0,0.0
Simon Mignolet,Sunderland,2011-2012,29,29,,28.6,0,0,0,0,0,0,0,0,0.0
Nenad Milijaš,Wolves,2011-2012,20,6,736.0,8.2,0,1,1,0,0,0,1,1,0.12
James Milner,Manchester City,2011-2012,26,17,,17.6,3,5,8,2,1,1,3,0,0.4
Ignasi Miquel,Arsenal,2011-2012,4,1,219.0,2.4,0,0,0,0,0,0,0,0,0.0
Ryo Miyaichi,Bolton,2011-2012,12,8,683.0,7.6,0,2,2,0,0,0,0,0,0.26
Anthony Modeste,Blackburn,2011-2012,9,3,392.0,4.4,0,0,0,0,0,0,1,1,0.0
Luka Modrić,Tottenham,2011-2012,36,36,,35.7,4,4,8,4,0,0,2,0,0.22
Garry Monk,Swansea City,2011-2012,16,14,,14.1,0,0,0,0,0,0,3,0,0.0
Luke Moore,Swansea City,2011-2012,20,3,532.0,5.9,2,0,2,2,0,0,1,0,0.34
Vangelis Moras,Swansea City,2011-2012,1,0,5.0,0.1,0,0,0,0,0,0,0,0,0.0
Steve Morison,Norwich City,2011-2012,34,22,,23.4,9,4,13,9,0,0,1,0,0.56
Josh Morris,Blackburn,2011-2012,2,0,81.0,0.9,0,0,0,0,0,0,0,0,0.0
James Morrison,West Brom,2011-2012,30,23,,23.8,5,5,10,5,0,0,1,0,0.42
Victor Moses,Wigan Athletic,2011-2012,38,36,,35.7,6,1,7,6,0,0,4,0,0.2
Fabrice Muamba,Bolton,2011-2012,20,18,,14.7,1,1,2,1,0,0,2,0,0.14
Youssouf Mulumbu,West Brom,2011-2012,35,34,,31.0,1,4,5,1,0,0,5,0,0.16
Danny Murphy,Fulham,2011-2012,36,33,,30.3,3,5,8,1,2,2,7,0,0.2
David N'Gog,Bolton,2011-2012,33,24,,22.6,3,4,7,3,0,0,2,0,0.31
Charles N'Zogbia,Aston Villa,2011-2012,30,24,,23.0,2,4,6,2,0,0,4,0,0.26
Nani,Manchester Utd,2011-2012,29,24,,23.4,8,10,18,8,0,0,2,0,0.77
Samir Nasri,Arsenal,2011-2012,1,1,90.0,1.0,0,0,0,0,0,0,0,0,0.0
Samir Nasri,Manchester City,2011-2012,30,26,,24.0,5,9,14,5,0,0,2,0,0.58
Kyle Naughton,Norwich City,2011-2012,32,29,,30.0,0,1,1,0,0,0,7,0,0.03
Ryan Nelsen,Tottenham,2011-2012,5,0,116.0,1.3,0,0,0,0,0,0,0,0,0.0
Ryan Nelsen,Blackburn,2011-2012,1,1,90.0,1.0,0,0,0,0,0,0,0,0,0.0
Phil Neville,Everton,2011-2012,27,24,,22.9,0,0,0,0,0,0,3,0,0.0
Ryan Noble,Sunderland,2011-2012,2,0,7.0,0.1,0,0,0,0,0,0,0,0,0.0
Steven Nzonzi,Blackburn,2011-2012,32,31,,31.2,2,5,7,2,0,0,7,0,0.22
Jamie O'Hara,Wolves,2011-2012,19,19,,18.4,2,1,3,2,0,0,6,0,0.16
John O'Shea,Sunderland,2011-2012,29,29,,27.1,0,0,0,0,0,0,5,0,0.0
Gabriel Obertan,Newcastle Utd,2011-2012,23,18,,17.2,1,3,4,1,0,0,0,0,0.23
John Obi Mikel,Chelsea,2011-2012,22,15,,14.7,0,0,0,0,0,0,4,0,0.0
Peter Odemwingie,West Brom,2011-2012,30,25,,25.4,10,2,12,10,0,1,2,0,0.47
Jonas Olsson,West Brom,2011-2012,33,33,,32.7,2,2,4,2,0,0,5,1,0.12
Marcus Olsson,Blackburn,2011-2012,12,10,992.0,11.0,0,1,1,0,0,0,1,0,0.09
Martin Olsson,Blackburn,2011-2012,27,23,,24.2,0,2,2,0,0,0,4,1,0.08
Nedum Onuoha,QPR,2011-2012,16,16,,16.0,0,1,1,0,0,0,2,0,0.06
Nedum Onuoha,Manchester City,2011-2012,1,0,10.0,0.1,0,0,0,0,0,0,0,0,0.0
Andrea Orlandi,Swansea City,2011-2012,3,2,119.0,1.3,1,0,1,1,0,0,1,0,0.76
Bradley Orr,QPR,2011-2012,6,2,333.0,3.7,0,0,0,0,0,0,0,0,0.0
Bradley Orr,Blackburn,2011-2012,12,10,956.0,10.6,0,2,2,0,0,0,2,0,0.19
Leon Osman,Everton,2011-2012,30,28,,26.3,5,1,6,5,0,0,3,0,0.23
Michael Owen,Manchester Utd,2011-2012,1,0,80.0,0.9,0,0,0,0,0,0,0,0,0.0
Alex Oxlade-Chamberlain,Arsenal,2011-2012,16,6,562.0,6.2,2,1,3,2,0,0,0,0,0.48
Wilson Palacios,Stoke City,2011-2012,18,9,807.0,9.0,0,0,0,0,0,0,3,0,0.0
Scott Parker,Tottenham,2011-2012,29,28,,27.4,0,1,1,0,0,0,9,1,0.04
Roman Pavlyuchenko,Tottenham,2011-2012,5,0,133.0,1.5,1,0,1,1,0,0,0,0,0.68
Jermaine Pennant,Stoke City,2011-2012,27,18,,18.9,0,6,6,0,0,0,2,0,0.32
James Perch,Newcastle Utd,2011-2012,25,13,,14.9,0,0,0,0,0,0,3,0,0.0
Bruno Perone,QPR,2011-2012,1,1,90.0,1.0,0,0,0,0,0,0,0,0,0.0
Robin van Persie,Arsenal,2011-2012,38,37,,37.0,30,9,39,28,2,3,8,0,1.0
Martin Petrov,Bolton,2011-2012,31,30,,28.5,4,6,10,0,4,4,1,0,0.21
Stiliyan Petrov,Aston Villa,2011-2012,27,26,,25.8,4,2,6,4,0,0,7,0,0.23
Radosav Petrović,Blackburn,2011-2012,19,10,986.0,11.0,0,0,0,0,0,0,4,0,0.0
Steven Pienaar,Tottenham,2011-2012,2,0,17.0,0.2,0,0,0,0,0,0,0,0,0.0
Steven Pienaar,Everton,2011-2012,14,14,,13.7,4,6,10,4,0,0,6,0,0.73
Anthony Pilkington,Norwich City,2011-2012,30,23,,21.9,8,1,9,8,0,0,1,0,0.41
David Pizarro,Manchester City,2011-2012,5,1,165.0,1.8,0,1,1,0,0,0,0,0,0.55
Paul Pogba,Manchester Utd,2011-2012,3,0,71.0,0.8,0,0,0,0,0,0,0,0,0.0
Pavel Pogrebnyak,Fulham,2011-2012,12,12,943.0,10.5,6,0,6,6,0,0,1,0,0.57
Darren Pratley,Bolton,2011-2012,25,14,,14.2,1,0,1,1,0,0,4,0,0.07
Danny Pugh,Stoke City,2011-2012,3,0,104.0,1.2,0,0,0,0,0,0,0,0,0.0
Jason Puncheon,QPR,2011-2012,2,0,18.0,0.2,0,0,0,0,0,0,0,0,0.0
Rafael,Manchester Utd,2011-2012,12,10,911.0,10.1,0,4,4,0,0,0,2,0,0.4
Ramires,Chelsea,2011-2012,30,28,,27.5,5,1,6,5,0,0,4,0,0.22
Aaron Ramsey,Arsenal,2011-2012,34,27,,27.4,2,4,6,2,0,0,3,0,0.22
Àngel Rangel,Swansea City,2011-2012,34,32,,31.9,0,2,2,0,0,0,3,0,0.06
Abdul Razak,Manchester City,2011-2012,1,0,11.0,0.1,0,0,0,0,0,0,0,0,0.0
Tim Ream,Bolton,2011-2012,13,13,,13.0,0,1,1,0,0,0,1,0,0.08
Steven Reid,West Brom,2011-2012,22,21,,19.6,1,2,3,1,0,0,3,0,0.15
Pepe Reina,Liverpool,2011-2012,34,34,,33.9,0,0,0,0,0,0,0,1,0.0
Nigel Reo-Coker,Bolton,2011-2012,37,37,,36.2,3,0,3,3,0,0,7,0,0.08
Jazz Richards,Swansea City,2011-2012,8,6,577.0,6.4,0,0,0,0,0,0,4,0,0.0
Micah Richards,Manchester City,2011-2012,29,23,,22.7,1,5,6,1,0,0,2,0,0.26
Kieran Richardson,Sunderland,2011-2012,29,26,,25.3,2,2,4,2,0,0,5,0,0.16
Sam Ricketts,Bolton,2011-2012,20,20,,20.0,1,1,2,1,0,0,3,0,0.1
Liam Ridgewell,West Brom,2011-2012,13,13,,13.0,1,1,2,1,0,0,2,0,0.15
Joe Riley,Bolton,2011-2012,3,2,201.0,2.2,0,0,0,0,0,0,0,0,0.0
Jason Roberts,Blackburn,2011-2012,10,5,467.0,5.2,0,1,1,0,0,0,2,0,0.19
Paul Robinson,Bolton,2011-2012,17,15,,15.8,0,1,1,0,0,0,4,0,0.06
Paul Robinson,Blackburn,2011-2012,34,34,,34.0,0,0,0,0,0,0,0,0,0.0
Rubén Rochina,Blackburn,2011-2012,18,9,818.0,9.1,2,0,2,2,0,0,2,0,0.22
Hugo Rodallega,Wigan Athletic,2011-2012,23,11,,14.0,2,4,6,2,0,0,1,0,0.43
Maxi Rodríguez,Liverpool,2011-2012,12,10,790.0,8.8,4,1,5,4,0,0,1,0,0.57
Jack Rodwell,Everton,2011-2012,14,11,925.0,10.3,2,1,3,2,0,0,2,1,0.29
Oriol Romeu,Chelsea,2011-2012,16,11,955.0,10.6,0,0,0,0,0,0,2,0,0.0
Wayne Rooney,Manchester Utd,2011-2012,34,32,,31.4,27,4,31,21,6,8,1,0,0.8
Danny Rose,Tottenham,2011-2012,11,3,321.0,3.6,0,0,0,0,0,0,1,1,0.0
Tomáš Rosický,Arsenal,2011-2012,28,19,,19.6,1,4,5,1,0,0,4,0,0.26
Wayne Routledge,Swansea City,2011-2012,28,17,,16.2,1,4,5,1,0,0,2,0,0.31
